true_sentiment,paraphrased_title
Positive,Euro set to gain from the ECB's strong determination - Commerzbank
Positive,EURCHF's upward trend likely to persist - ING
Neutral,Is a surge in EURCHF indicating a break above 108 in EURUSD? - SocGen
Positive,EURCHF may prolong its advance towards levels between 102 and 104 - MUFG
Positive,EURCHF expected to rise towards 10130 and projections of 1024010260 - SocGen
Positive,Room for Euro to continue moving higher against CHF - MUFG
Neutral,USDCHF halts its upward momentum at the 200 bar MA on the 4-hour chart and 38.2% retracement
Positive,EURCHF achieves 38.2% of the 2-year range as its upward momentum persists
Negative,EURCHF Bias suggests a stronger Franc but awaiting clearer SNB monetary policy stance - Credit Suisse
Negative,New lows for EURUSD. EURCHF also declines and tests its 200-day MA.
Positive,EURCHF Still room to rise toward the 10500 area - MUFG
Positive,EURCHF to remain well supported amid widening ECBSNB policy divergence - CIBC
Positive,EUR enjoys advantage to USD CHF and GBP - TDS
Negative,SNB Jordan: Price stability does not happen automatically. EURCHF lower on the day.
Positive,Forexlive Americas FX news wrap: Bank of England and ECB raise rates by 50 basis points
Neutral,USDJPY moves toward the 38.2% of the move up and bounces
Positive,Modest CHF weakness against the EUR in the month ahead - HSBC
Positive,Rate differentials moving in favour of the Euro and risk rally should help EURCHF - ING
Negative,EURCHF Upper end less attractive as SNB likely to remain alarmed for now - Commerzbank
Neutral,USDJPY trades between a key swing area between 1.31297 to 1.31567
Negative,GBPUSD moves back toward falling 100 hour MA
Positive,New highs for the EURUSD. What next?
Neutral,EURCHF The lower end remains attractive - Commerzbank
Positive,USDJPY extends higher. Tests January high/swing area
Neutral,Both the NZDUSD and the AUDUSD stall at the 200 hour MA today
Neutral,AUDUSD reaches resistance targets on the upside
Neutral,EURUSD consolidates above and below the 100-hour MA as the market closes
Positive,GBPUSD trades back above the 100-hour MA. Will it maintain its position and push above the 200-hour MA?
Neutral,"VIDEO: Analysis of the aftermath of the US CPI. What price levels are relevant for EURUSD, USDJPY & GBPUSD?"
Positive,USDJPY achieves new session highs
Positive,GBPUSD aims to close above the 200-hour MA
Neutral,EURUSD stabilizes between the 100/200-hour MA after testing extreme levels earlier in the day
Positive,EURUSD now in positive territory for the day. Above yesterday's close at 1.0686
Neutral,AUDUSD Price Analysis: Bulls and bears poised for a standoff around key level 0.6850s
Neutral,RBA Governor Lowe’s Testimony: High inflation poses significant risks
Negative,RBA senior officials speak out following disappointing labor market data this week
Negative,AUDUSD slips below 0.6900 as RBA commentary fails to counter hawkish Fed expectations
Neutral,Japan Finance Minister selects BOJ nominees with focus on price targets and wages
Positive,USDJPY gains momentum above 134.00 as BoJ competes with Fed amidst strong yields
Negative,AUDUSD Price Analysis: Bears take a pause on the way to the 200-day MA
Positive,"USDJPY flirts with year-to-date peak, eyes 135.00 amid broad USD strength"
Negative,"AUDUSD drops to lowest level since January, below mid-0.6800s amidst USD strength"
Positive,"UK Retail Sales surge 0.5% MoM in January, exceeding expectations of 0.3%"
Neutral,GBPUSD bears take a break near multi-day low around 1.1950 on strong UK Retail Sales data
