true_sentiment,title
Positive,Euro to benefit from the ECBs pronounced hawkish determination – Commerzbank
Positive,EURCHF Trend higher may remain in place – ING
Neutral,Does a jump in EURCHF point to a break above 108 in EURUSD – SocGen
Positive,EURCHF could extend its advance back to levels between 102 and 104 – MUFG
Positive,EURCHF to head higher towards 10130 and projections of 1024010260 – SocGen
Positive,EURCHF Room for the Euro to extend the move higher – MUFG
Neutral,USDCHF stalls its run higher at the 200 bar MA on the 4 hour chart and 38.2% retracement
Positive,EURCHF reaches 38.2% of the 2 year range as run higher continues
Negative,EURCHF Bias would be for stronger Franc but waiting for clearer SNB monetary policy stance – Credit Suisse
Negative,New lows for the EURUSD. EURCHF down as well and tests its 200 day MA.
Positive,EURCHF Still room to rise toward the 10500 area – MUFG
Positive,EURCHF to remain well supported amid widening ECBSNB policy divergence – CIBC
Positive,EUR enjoys advantage to USD CHF and GBP – TDS
Negative,SNB Jordan: Price stability does not happen automatically. EURCHF lower on the day.
Positive,Forexlive Americas FX news wrap: Bank of England and ECB raise rates by 50 basis points
Neutral,USDJPY moves toward the 38.2% of the move up and bounces
Positive,Modest CHF weakness against the EUR in the month ahead – HSBC
Positive,Rate differentials moving in favour of the Euro and risk rally should help EURCHF – ING
Negative,EURCHF Upper end less attractive as SNB likely to remain alarmed for now – Commerzbank
Neutral,USDJPY trades between a key swing area between 1.31297 to 1.31567
Negative,GBPUSD moves back toward falling 100 hour MA
Positive,New highs for the EURUSD. What next?
Neutral,EURCHF The lower end remains attractive – Commerzbank
Positive,USDJPY extends higher. Tests January high/swing area
Neutral,Both the NZDUSD and the AUDUSD stall at the 200 hour MA today
Neutral,AUDUSD reaches upside resistance targets
Neutral,EURUSD consolidates above and below 100 hour MA into the close
Positive,GBPUSD trades back above 100 hour MA. Can it stay above and push above the 200 hour MA?
Neutral,"VIDEO: The aftermath of the US CPI.What levels are in play for the EURUSD, USDJPY & GBPUSD"
Positive,USDJPY prints new session highs
Positive,GBPUSD looks to close above the 200 hour MA
Neutral,EURUSD settling between 100/200 hour MA after day extreme targets are tested
Positive,EURUSD now up on the day. Above the close from yesterday at 1.0686
Neutral,AUDUSD Price Analysis Bears and bulls about to standoff at key 06850s
Neutral,RBA Governor Lowe’s Testimony High inflation is damaging and corrosive
Negative,RBA top bankers speak up following this weeks disappointing labour market data
Negative,AUDUSD slides below 06900 as RBA talks fail to overcome hawkish Fed bets
Neutral,Japan Finance Minister BOJ nominees selected with eye on price target wages
Positive,USDJPY picks up bids above 13400 as BoJ vs Fed battle intensifies amid strong yields
Negative,AUDUSD Price Analysis Bears take a breather on the way to 200DMA
Positive,USDJPY flirts with YTD peak eyes 13500 mark amid broad based USD strength
Negative,AUDUSD drops to its lowest level since January below mid06800s amid stronger USD
Positive,UK Retail Sales jump 05 MoM in January vs 03 expected
Neutral,GBPUSD bears take a breather around multiday low near 11950 on upbeat UK Retail Sales
Negative,GBPUSD risks a probable drop to 11900 – UOB
Negative,USDJPY to slide toward 125 in three months – Danske Bank
Positive,GBPUSD to break topside of 1185012450 range post a consolidation phase – Credit Suisse
Negative,AUDUSD Further weakness remains in the pipeline – UOB
Positive,USDJPY Door open to extra upside in the short term – UOB
Negative,EURUSD sinks to 6week lows near 10630 dollar remains strong
Negative,GBPUSD slides below 200 DMA support seems vulnerable near its lowest level since January
Neutral,EURUSD to peak in Q1 2024 rather than in Q4 2023 – Commerzbank
Negative,BoE would like to end its rate hike cycle sooner rather than later – Commerzbank
Neutral,EURUSD set to head lower but holding above parity – Danske Bank
Negative,EURUSD Signs of drifting lower but slowly – OCBC
Positive,USDJPY Price Analysis Climbs to fresh YTD top seems poised to appreciate further
Neutral,ECBs Villeroy Need to aim to be more predictable with our communication
Neutral,EUs Šefčovič Good progress made in Brexit talks
Negative,EURUSD Overshoot to support at 10460 cannot be excluded as a risk – Scotiabank
Negative,AUDUSD Price Analysis Remains heavily offered seems vulnerable below 50day SMA
Negative,EURUSD Price Analysis Further weakness could revisit 10600
Negative,GBPUSD Scope for a sizeable move lower towards 112 – Scotiabank
Negative,EURUSD to reach 114 USDJPY to sink toward 121 by yearend – BNP Paribas
Positive,GBPUSD gains traction and reclaimed 12000 as the GBP prepares for weekly losses
Positive,GBPUSD back above swing area after low from last week attracts buyers
Negative,AUDUSD fluctuates around 06877 though ended the week with losses
Positive,AUDUSD bounces off swing area floor
Negative,AUDUSD pushes to the low floor after key MA resistance held at session highs
Positive,EURUSD reaches to 100 hour MA target
Positive,EURUSD Price Analysis US Dollars failures above 10420 DXY opens risk to 10720s
Neutral,AUDUSD retraces back to unchanged on the day
Positive,AUDUSD advances towards 06900 despite renewed US Inflation recovery concerns
Negative,USDJPY Price Analysis Bears on the look out for a break to 13250
Negative,Rishi Sunak forced to ‘pause’ Protocol deal
Negative,GBPUSD fades bounce off sixweek low near 12030 as UK PMIs Fed Minutes loom
Neutral,EURUSD stays defensive around 10700 ahead of Eurozone PMIs Fed Minutes
Negative,AUDUSD Price Analysis Retreats towards 06800 support confluence
Positive,USDJPY prints mild gains above 13400 as sour sentiment Fed concerns joins firmer yields
Positive,AUDUSD refreshes day high above 06880 as PBoC keeps LPR unchanged
Negative,EURUSD Price Analysis Remains pressured towards 1063015 support area
Neutral,Japans PM Kishida is requesting a meeting of the United Nations Security Council on North Korean missiles
Negative,GBPUSD Price Analysis Slides towards 12000 as bears eye another battle with key DMAs
Neutral,US and Taiwan may sign a bilateral trade agreement earlier than expected this year – Report
Negative,BoJ offers to buy JPY175 trillion worth of JGBs on Monday
Negative,USDJPY Sell on rallies above 13500 – Citibank
Neutral,USDJPY Price Analysis Needs acceptance above 13500 for a fresh upside
Neutral,EURUSD aims to recapture 10700 as risk appetite recovers Fed minutes in focus
Positive,AUDUSD kisses 06900 as USD Index extends losses RBA and FOMC minutes hog limelight
Neutral,EURUSD Diminishing bets for a move below 10615 – UOB
Neutral,GBPUSD eyes 12050 as risk off impulse cools down further ahead of USUK PMIs
Neutral,FX option expiries for Feb 20 NY cut
Negative,GBPUSD Further losses likely below 12100 – UOB
Neutral,USDJPY consolidates in a narrow range manages to hold above 13400 mark
Neutral,RBA Terminal cash rate of 41 by May – ANZ
Negative,EURUSD Hawkish set of FOMC minutes required to see a break towards 105 – ING
Positive,AUDUSD A deeper pullback appears not favoured – UOB
Neutral,French FinMin Le Maire Inflation should ease off from the middle of this year
Neutral,EURUSD meets some resistance just above 10700
Negative,AUDUSD clings to intraday gains around 06900 mark lacks bullish conviction
Neutral,BoJ’s Amamiya Appropriate to maintain current policy given underlying price moves
Negative,Hints of a change to BoJs ultra dovish monetary policy could see USDJPY sell off again – ING
Negative,EURUSD to fall back towards support from the 200DMA at around 10330 – MUFG
Neutral,USDJPY faces some near term consolidation – UOB
Neutral,GBPUSD to be bounced around by the Dollar trend – ING
Negative,GBPUSD surrenders modest intraday gains amid modest USD uptick holds above 12000 mark
Neutral,Bundesbank German economic outlook somewhat brighter but high inflationary pressures persist
Negative,EURUSD finds sellers near the 200 hour MA again
Neutral,USDJPY Price Analysis Remains confined in a range around 13400 bullish potential intact
Neutral,EURUSD 106 can be expected to offer psychological support – Rabobank
Negative,EURUSD Price Analysis Another visit to the February low is not ruled out
Negative,USDJPY corrects to MA support as traders take the pair lower today
Negative,GBPUSD finds sellers near the 100 hour MA. Level will be a key barometer to start the week
Neutral,Eurozone Consumer Confidence Indicator improves to 19 in February as expected
Negative,GBPUSD Conviction for a return to 12450 is low – SocGen
Positive,AUDUSD approaches a key low risk trading target
Positive,ECBs Rehn Appropriate to raise rates beyond March
Negative,Further USD strength requires Fed Funds futures market to start pricing in a 50 bps hike in March – SocGen
Positive,AUDUSD remains firm at around 06910s despite risk aversion and a soft USD
Negative,GBPUSD oscilates in low volumes around Fridays high but bears are lurking
Neutral,SNB Vice Chair Martin Schlegel: SNB is still willing to be active in FX markets
Neutral,Forex Today Slow start to the week
Neutral,EURUSD is parked in an inside day range traders await the next cue
Neutral,USDJPY hovers around 13430s as traders eye Japanese and US PMIs US housing data
Negative,AUDUSD retreats towards 06900 despite upbeat Aussie PMI data RBA Minutes eyed
Neutral,GBPUSD Price Analysis Clings to 100HMA above 12000 with eyes on UK PMI
Positive,EURUSD Hawkish ECB talks upbeat EU data tease bulls near 10700 PMIs in focus
Neutral,USDJPY Price Analysis W formations support structure eyed near 13280
